Relevance_Rank_WoS,Article Title,UT (Unique WOS ID),Source,RefShortHand,MethodPlatform,MethodType,MethodReference,SelectedForDetailedConsideration,Comments
82,Sperm whales forage year-round in the ross sea region,WOS:001065864200001,WoS,Giorli and Pinkerton 2023,custom (MATLAB),Click detector,Giorli and Goetz 2019,No,Not primary description
91,Echolocation repetition rate as a proxy to monitor population structure and dynamics of sperm whales,WOS:000807471500001,WoS,Solsona-Berga et al. 2022,custom (MATLAB),Click detector,Solsona-Berga et al. 2020,Yes,
92,"Changes in sea ice and range expansion of sperm whales in the eclipse sound region of Baffin Bay, Canada",WOS:000779007600001,WoS,Posdaljian et al. 2022,Triton (MATLAB),LTSA,,Yes,
93,"Summer and winter surveys of deep waters of the Hellenic Trench, Greece, provide insights into the spatial and temporal distribution of odontocetes",WOS:001190237900001,WoS,Thompson et al. 2023,PAMGuard,Click detector,,Yes,
94,CONVOLUTIONAL RECURRENT NEURAL NETWORKS FOR THE CLASSIFICATION OF CETACEAN BIOACOUSTIC PATTERNS,WOS:001595432200502,WoS,Makropoulos et al. 2023,,CNN,,No,Not clear if available
131,Passive acoustic surveys demonstrate high densities of sperm whales off the mid-Atlantic coast of the USA in winter and spring,WOS:001299599800001,WoS,Boisseau et al. 2024,PAMGuard,Click detector,,No,Few details provided
133,Sperm whale acoustic abundance and dive behaviour in the western North Atlantic,WOS:000865124900084,WoS,Westell et al. 2022,PAMGuard,Click detector,,Yes,
134,Cetacean acoustic occurrence on the US Atlantic Outer Continental Shelf from 2017 to 2020,WOS:000851452000001,WoS,Kowarski et al. 2023,,,Kowarski et al. 2018,No,Not primary description
135,Streamlining analysis methods for large acoustic surveys using automatic detectors with operator validation,WOS:000811362600001,WoS,Webber et al. 2022,PAMGuard,Click detector,,Yes,
136,A Real-Time Acoustic Observatory for Sperm-Whale Localization in the Eastern Mediterranean Sea,WOS:000804064500001,WoS,Skarsoulis et al. 2022,unclear,unclear,,No,No obvious link to detector
137,Cetacean occurrence in the Gulf of Alaska from long-term passive acoustic monitoring,WOS:000713823900001,WoS,Rice et al. 2021b,Triton (MATLAB),LTSA,,Yes,
142,Decadal Assessment of Sperm Whale Site-Specific Abundance Trends in the Northern Gulf of Mexico Using Passive Acoustic Data,WOS:000662383600001,WoS,Li et al. 2021,custom,spectral energy detection algorithm,,Yes,multi-species detector
145,"Seasonal Trends in Acoustic Detection of Marine Mammals in Baffin Bay and Melville Bay, Northwest Greenland",WOS:000403713000006,WoS,Frouin-Mouy et al. 2017,JASCO,,,No,Not clear if available
147,A survey of detection techniques for sperm whale and dolphin echolocation clicks,WOS:001613043100001,WoS,Gracic et al. 2025,,,,Yes,review
150,Automatic acoustic estimation of sperm whale size distributions achieved through machine recognition of on-axis clicks,WOS:000454625000044,WoS,Beslin et al. 2018,CABLE,,,Yes,
153,Detecting the Presence of Sperm Whales' Echolocation Clicks in Noisy Environments,WOS:001196506000004,WoS,Gubnitky and Diamant 2024,custom,,,Yes,
155,Environmental Acoustic Recording System (EARS) in the Gulf of Mexico,WOS:000388838600008,WoS,Ioup et al. 2016,custom,,,No,Not clear if available
160,Acoustic detection of biosonar activity of deep diving odontocetes at Josephine Seamount High Seas Marine Protected Area,WOS:000354962900007,WoS,Giorli et al. 2015,M3R (Marine Mammal Monitoring on Navy Ranges); custom (MATLAB),spectrogram analysis,"Jarvis et al., 2008; Jarvis, 2012",No,Not clear if available
162,Sperm whale demographics in the Gulf of Alaska and Bering Sea/Aleutian Islands: An overlooked female habitat,WOS:001267636600006,WoS,Posdaljian et al. 2024,custom (MATLAB),Click detector,Solsona-Berga et al. 2020,No,Not primary description
174,Habitat suitability modeling in different sperm whale social groups,WOS:000435816100019,WoS,Pace et al. 2018,Rainbow Click,,,No,Rainbow click is legacy software superseded by PAMGuard
175,"Individuals size estimations of the sperm whales from the Gulf of Taranto (Northern Ionian Sea, Central Mediterranean Sea) employing clicks' InterPulse-Interval (IPI) measurements",WOS:001108819300065,WoS,Azzolin et al. 2023,CABLE,,Beslin et al. 2018,No,Not primary description
