Relevance_Rank_WoS,UT (Unique WOS ID),Source,RefShortHand,MethodPlatform,MethodType,MethodReference,SelectedForDetailedConsideration,Comments
NA,NA,Other,Ferrari et al. 2020,custom,neural netowrk model,,No,Not clear if available
NA,NA,Other,Barile et al. 2026,PAMGuard,Click detector,,Yes,
NA,NA,Other,Kowarski et al. 2018,JASCO,custom energy-detector,,No,Not clear if available
NA,NA,Other,Ciampaglio 2025,custom,spectral energy detection algorithm,Li et al. 2021,No,Not primary description
NA,NA,Other,"Macaulay, 2020",PAMGuard,Click train detector,,Yes,adds to existing PAMGuard functions
NA,NA,Gracic et al. 2025,"Marzetti et al., 2021",,,,No,Not clear if available
NA,NA,Gracic et al. 2026,"Gubnitsky and Diamant, 2023",custom,,,No,Not clear if available
NA,NA,Gracic et al. 2027,"Seger et al., 2018",custom,Empirical Mode Decomposition,,No,Not clear if available
NA,NA,Gracic et al. 2028,"Hamilton et al., 2021",,,,No,Not clear if available
NA,NA,Gracic et al. 2029,"Madhusudhana et al., 2015",custom,,,No,Not clear if available
