"FileName","InputType","RecordingDuration","nIPIReps","minGoodProb","AllIPIs","IPImin_ms","IPImax_ms","CompletionStatus","ExecutionTime_s","ClicksFound","ClicksPassed","ClickPassRate","RecordingSubdirectory"
"9242.250721040308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",178,5,0,0,"BonavistaBay_2025-07"
"9242.250721040808.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",181,10,0,0,"BonavistaBay_2025-07"
"9242.250721041308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",185,5,0,0,"BonavistaBay_2025-07"
"9242.250721041808.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",188,10,0,0,"BonavistaBay_2025-07"
"9242.250721042308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",192,27,0,0,"BonavistaBay_2025-07"
"9242.250721042808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",196,9,0,0,"BonavistaBay_2025-07"
"9242.250721043308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",201,27,0,0,"BonavistaBay_2025-07"
"9242.250721043808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",205,26,0,0,"BonavistaBay_2025-07"
"9242.250721044308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",209,24,0,0,"BonavistaBay_2025-07"
"9242.250721044808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",213,4,0,0,"BonavistaBay_2025-07"
"9242.250721045308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",216,0,0,NA,"BonavistaBay_2025-07"
"9242.250721045808.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",220,2,0,0,"BonavistaBay_2025-07"
"9242.250721050308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",223,2,0,0,"BonavistaBay_2025-07"
"9242.250721050808.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",227,2,0,0,"BonavistaBay_2025-07"
"9242.250721051308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",231,0,0,NA,"BonavistaBay_2025-07"
"9242.250721051808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",234,3,0,0,"BonavistaBay_2025-07"
"9242.250721052308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",238,0,0,NA,"BonavistaBay_2025-07"
"9242.250721052808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",242,1,0,0,"BonavistaBay_2025-07"
"9242.250721053308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",245,4,0,0,"BonavistaBay_2025-07"
"9242.250721053808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",248,4,0,0,"BonavistaBay_2025-07"
"9242.250721054308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",252,2,0,0,"BonavistaBay_2025-07"
"9242.250721054808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",256,5,0,0,"BonavistaBay_2025-07"
"9242.250721055308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",260,2,0,0,"BonavistaBay_2025-07"
"9242.250721055808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",263,3,0,0,"BonavistaBay_2025-07"
"9242.250721060308.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",267,1,0,0,"BonavistaBay_2025-07"
"9242.250721060808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",270,1,0,0,"BonavistaBay_2025-07"
"9242.250721061308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",273,0,0,NA,"BonavistaBay_2025-07"
"9242.250721061808.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",276,0,0,NA,"BonavistaBay_2025-07"
"9242.250721062308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",281,0,0,NA,"BonavistaBay_2025-07"
"9242.250721062808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",284,0,0,NA,"BonavistaBay_2025-07"
"9242.250721063308.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",288,2,0,0,"BonavistaBay_2025-07"
"9242.250721063808.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",291,3,0,0,"BonavistaBay_2025-07"
"9242.250721064309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",295,3,0,0,"BonavistaBay_2025-07"
"9242.250721064809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",298,1,0,0,"BonavistaBay_2025-07"
"9242.250721065309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",301,1,0,0,"BonavistaBay_2025-07"
"9242.250721065809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",305,0,0,NA,"BonavistaBay_2025-07"
"9242.250721070309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",309,2,0,0,"BonavistaBay_2025-07"
"9242.250721070809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",312,0,0,NA,"BonavistaBay_2025-07"
"9242.250721071309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",316,3,0,0,"BonavistaBay_2025-07"
"9242.250721071809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",321,44,0,0,"BonavistaBay_2025-07"
"9242.250721072309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",325,6,0,0,"BonavistaBay_2025-07"
"9242.250721072809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",328,4,0,0,"BonavistaBay_2025-07"
"9242.250721073309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",331,6,0,0,"BonavistaBay_2025-07"
"9242.250721073809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",335,2,0,0,"BonavistaBay_2025-07"
"9242.250721074309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",338,6,0,0,"BonavistaBay_2025-07"
"9242.250721074809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",342,10,0,0,"BonavistaBay_2025-07"
"9242.250721075309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",347,115,0,0,"BonavistaBay_2025-07"
"9242.250721075809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",351,106,0,0,"BonavistaBay_2025-07"
"9242.250721080309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",355,8,0,0,"BonavistaBay_2025-07"
"9242.250721080809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",359,86,0,0,"BonavistaBay_2025-07"
"9242.250721081309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",363,30,0,0,"BonavistaBay_2025-07"
"9242.250721081809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",367,1,0,0,"BonavistaBay_2025-07"
"9242.250721082309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",371,4,0,0,"BonavistaBay_2025-07"
"9242.250721082809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",374,1,0,0,"BonavistaBay_2025-07"
"9242.250721083309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",378,3,0,0,"BonavistaBay_2025-07"
"9242.250721083809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",381,4,0,0,"BonavistaBay_2025-07"
"9242.250721084309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",384,4,0,0,"BonavistaBay_2025-07"
